Title,Rating,Genre,Description,Release year,Casts,Country
"The King of Tears, Lee Bang Won (2021)",Four & Half Stars,"Drama , Drama , Historical , Korean | Episodes 32","A work that sheds new light on the figure of Lee Bang Won, a leader who took the lead in the founding of the nation. ",Release: 2021,"{'', 'Support Role', 'Kim Myung Soo\nSupport Role', 'Park Hyung Joon\nSupport Role', 'Joo Sang Wook\nMain Role', 'Park Jin Hee\nMain Role', 'Hong Kyung In\nSupport Role', 'Rho Sang Bo\nSupport Role', 'Kim Hyung Il\nUnknown Role', 'Kim Gyu Chul\nSupport Role', 'Choi Jong Hwan\nSupport Role', 'Jang Tae Hoon\nSupport Role', 'Im Ji Kyu\nSupport Role', 'Kim Young Chul\nMain Role', 'Tae Hang Ho\nSupport Role', 'Lee Kwang Ki\nSupport Role', 'Lee Eung Kyung\nSupport Role', 'Ye Ji Won\nMain Role', 'Uhm Hyo Seop\nSupport Role', 'Lee Jung Woo\nUnknown Role'}",Korean
Going Seventeen 2021 (2021),Three Stars,"Drama , Comedy , Friendship , Kshow , Korean | Episodes 30+","The third season of Going Seventeen. This season's keyword is ""watch what you say"" where anything the members say can and will be turned into content.",Release: 2021,"{'', 'Wonwoo\nRegular Member', 'Regular Member', 'Vernon\nRegular Member', 'Boo Seung Kwan\nRegular Member', 'Yoon Jung Han\nRegular Member', 'Joshua Hong\nRegular Member', 'The8\nRegular Member', 'Hoshi\nRegular Member', 'DK\nRegular Member', 'Moon Jun Hui\nRegular Member', 'S.Coups\nRegular Member', 'Woozi\nRegular Member', 'Kim Min Gyu\nRegular Member', 'Dino\nRegular Member'}",Korean
Stray Kids : SKZ-TALKER GO! Season 2 (2020),Three Stars,"Drama , Friendship , Kshow , Korean | Episodes 2+",SKZ Talker is Stray Kids filming their time while they are on their second world tour in the different locations. ,Release: 2020,"{'I.N\nMain Host', 'Seo Chang Bin\nMain Host', 'Bang Chan\nMain Host', 'Lee Know\nMain Host', 'Felix\nMain Host', 'Han\nMain Host', 'Kim Seung Min\nMain Host', 'Hwang Hyun Jin\nMain Host'}",Korean
Learn Way 2 (2021),Two & Half Stars,"Drama , Comedy , Kshow , Korean | Episodes 20+","Learn Way 2, a new season of learn way focusing on Lovelyz's member Mijoo.",Release: 2021,"{'Han Hyun Min\nGuest', 'Lee Mi Joo\nMain Host'}",Korean
Kep1er Zone (2022),Not Rated,"Drama , Adventure , Friendship , Kshow , Life , Korean | Episodes 10",Kep1er's first travel reality show. ,Release: 2022,"{'Choi Yoo Jin\nRegular Member', 'Kim Da Yeon\nRegular Member', 'Sakamoto Mashiro\nRegular Member', 'Seo Young Eun\nRegular Member', 'Shen Xiao Ting\nRegular Member', 'Ezaki Hikaru\nRegular Member', 'Kim Chae Hyun\nRegular Member', 'Kang Ye Seo\nRegular Member', 'Bahiyyih\nRegular Member'}",Korean
YUGYEOM - [Point Of View: U] (2021),Not Rated,"Drama , Documentary , Kshow , Music , Korean | Episodes 20+",YUGYEOM - [Point Of View: U],Release: 2021,"{'Kim Yoo Gyum\nMain Host', 'Bhuwakul Kunpimook\nGuest', 'Hoody\nGuest', 'Punchnello\nGuest', 'DeVita\nGuest', 'Gray\nGuest', 'Jay Park\nGuest', 'Loco\nGuest'}",Korean
Woof & Meow – Do you Love Me? (2022),Two & Half Stars,"Drama , Drama , Romance , Korean | Episodes 3","When it comes to love, Ha Joon is about the farthest thing from an expert that you can get. With almost no dating experience, the closest Ha Joon has ever gotten to having a long-term relationship is the one he has with his dog, Meongoo. Now in his twenties, Ha Joon is starting to feel that raising a dog is great, but it would be nice to have an actual human by his side. Terrified of going through his entire twenties without a proper relationship, Ha Joon agrees to visit a dating consultation company with some of his college friends. While there, Ha Joon finds himself crossing paths with Do Hee, a pretty young lady who looks exactly like his first love. Incredibly unlucky when it comes to love, Do Hee's only true companion is her cat Anna. Even so, Do Hee refuses to give up on love. Bonding over their mutual affection for their pets, Ha Joon and Do Hee find themselves drawing even closer, but is that one connection enough to spark love's eternal flame? ",Release: 2022,"{'Yoon Chae Kyung\nMain Role', 'Cha Hun\nMain Role', 'Ryan\nMain Role'}",Korean
Show!terview with Jessi (2020),Four Stars,"Drama , Comedy , Kshow , Life , Music , Korean | Episodes 30+",A new style of talk show hosted by Jessi! ,Release: 2020,"{'', 'Guest', 'Kim Jong Min\nGuest', 'Jessi\nMain Host', 'Yoo Jae Pil\nGuest', 'Kim Young Chul\nGuest', 'Lee Geun\nGuest', 'Solar\nGuest', 'Ha Ha\nGuest', 'Queen Wa$abii\nGuest', 'Dawn\nGuest', 'Eric Nam\nGuest', 'Jo Jung Shik\nRegular Member', 'Hyun Seung Hee\nGuest', 'Park Moon Chi\nGuest', 'Kim Hee Chul\nGuest'}",Korean
Astro Hostel (2022),Two Stars,"Drama , Friendship , Kshow , Life , Music , Korean | Episodes 8","Gmarket Global Shop, a platform for direct purchase, announced on the 4th that it had released the web entertainment contents of the K-pop idol group ASTRO on the official YouTube channel 'Insaoppa' on the 2nd. There will be a total of 8 episodes, starting with the trailer on the 2nd, and the first episode will be released on the 9th. It is uploaded sequentially every Wednesday at 6 PM. In this content, ASTRO members Jinjin, Moonbin, and Yoon Sanha run a pension with the concept of a roaring gaksi, and introduced the classic items for each category sold in the Gmarket Global Shop.",Release: 2022,"{'Moon Bin\nMain Host', 'Yoon San Ha\nMain Host', 'Jin Jin\nMain Host'}",Korean
Ateez Wanted Special (2022),Not Rated,"Drama , Adventure , Comedy , Drama , Friendship , Korean | Episodes 8","ATEEZ members will go on a 2 day 1 night trip around Daegu, by completing the missions that will be given, while enjoying the beauty of Daegu.",Release: 2022,"{'Kim Hong Joong\nRegular Member', 'Song Min Ki\nRegular Member', 'Park Seong Hwa\nRegular Member', 'Kang Yeo Sang\nRegular Member', 'Choi Jong Ho\nRegular Member', 'Jung Woo Young\nRegular Member', 'Choi San\nRegular Member', 'Jung Yun Ho\nRegular Member'}",Korean
"Work Later, Hike Now (2022)",Four & Half Stars,"Drama , Comedy , Friendship , Kshow , Korean | Episodes 4","Work Later, Hike Now",Release: 2022,"{'AIKI\nGuest', 'Han Sun Hwa\nRegular Member', 'Jung Eun Ji\nRegular Member', 'Choi Shi Won\nGuest', 'Kim Ji Suk\nGuest', 'Lee Seon Bin\nRegular Member'}",Korean
The All-Round Wife (2021),Three Stars,"Drama , Drama , Family , Melodrama , Korean | Episodes 120","A drama centered around the district of Gangnam and Seo Cho Hee, a woman who struggles to improve the quality of life with a house. It has a realistic family message that happiness is not about the house but about the family that lives in it.",Release: 2021,"{'', 'Kim Ji Wan', 'Support Role', 'Kim Ga Ran\nSupport Role', 'Oh Soo Min\nSupport Role', 'Choi Ji Yeong\nUnknown Role', 'Han Sang Jin\nMain Role', 'Kim Na On\nSupport Role', 'Ahn Jung Ho\nSupport Role', 'Kim Jae In\nSupport Role', 'Choi Yu Ju\nSupport Role', 'Yoon Da Young\nSupport Role', 'Jo Hyang Gi\nSupport Role', 'Jung Bo Min\nSupport Role', 'Han Eun Jung\nMain Role', 'Kim Duk Hyun\nSupport Role', 'Shim Ji Ho\nMain Role', 'Choi Jong Nam\nSupport Role', 'Lee Chae Bin\nSupport Role'}",Korean
Problem Child in House (2018),Three Stars,"Drama , Comedy , Family , Fantasy , Game-Show , Kshow , Korean | Episode 100+",Five celebrities who are not that knowledgeable face the challenge of having to solve 10 problems in order to escape the rooftop.,Release: 2018,not available,Korean
Welcome First Time in Korea: Season 2 (2018),Two & Half Stars,"Drama , Comedy , Food , Game-Show , Kshow , Korean | Episode 200+",A new type of reality Korean vacation show exploring both the fun and cultural differences of foreigners who are in Korea for the first time through their Korean vacation travel log. ,Release: 2018,"{'Kim Jun Hyun\n[MC/Panelist]\nMain Host', 'DinDin\n[MC/Panelist]\nMain Host'}",Korean
Kissable Lips (2022),Three Stars,"Drama , Drama , Romance , School , Supernatural , Youth , Korean | Episodes 8","A sweet and bloody campus romance between Jun Ho, a vampire who is walking the path of extinction, and a human with pure blood, Min Hyun. Jun Ho is a vampire who is about to die. To survive, he will need to drink pure blood and thus become a human. One day, while searching for this pureblood, he meets Min Hyun, a human with pure blood. But another vampire named Hae Soo, who knows about Jun Ho's past traumas, causes Min Hyun and Jun Ho to fall out. Living a normal life as a human and protecting Min Hyun, what will Jun-ho have to face .",Release: 2022,"{'Moon Ji Hoo\nMain Role', 'Kim Ji Woong\nMain Role', 'Seong Do Joon\nUnknown Role', 'Yoon Seo Bin\nMain Role'}",Korean
Hometown Report (2018),Three & Half Stars,"Drama , Comedy , Fantasy , Game-Show , Kshow , Vampire , Korean | Episode 8000","Hometown Report is a longstanding report which first aired on May 20, 1991. As a leading public interest program of the public broadcaster KBS, Hometown is a refuge for city dwellers and a source of pride for those who live in the countryside. It is a bridge to experiencing diverse culture. The program also instills the importance of community life and provides farming and distribution information to help boost farmers' income.",Release: 2018,not available,Korean
Morning Forum (2019),Three Stars,"Drama , Kshow , Korean | Episode 9000+",All about Family and Personal Issues,Release: 2019,not available,Korean
Thirty-Nine (2022),Four & Half Stars,"Drama , Drama , Friendship , Life , Romance , Korean | Episodes 12","Leaning on each other through thick and thin, a trio of best friends stand together as they experience life, love and loss on the brink of turning 40. Cha Mi Jo is the head dermatologist of a clinic in Gangnam. She is a warm character who grew up in a wealthy environment with a caring family and everything she could wish for. Jung Chan Young dreamed of becoming an actress but ended up becoming an acting teacher instead. Although her way of speaking may seem blunt and harsh, the sincerity in her words makes her a character impossible to hate. Jang Joo Hee is a department store cosmetics manager. Due to her timid personality, she has yet to really experience a romantic relationship. ",Release: 2022,"{'', 'Support Role', 'Seo Hyun Chul\nSupport Role', 'Song Min Ji\nSupport Role', 'Shin So Hyun\nSupport Role', 'Sandy\nSupport Role', 'Oh Se Young\nSupport Role', 'Kim Ji Hyun\nMain Role', 'Kim Kwon\nGuest Role', 'Seo Ji Young\nSupport Role', 'Ahn So Hee\nSupport Role', 'Yoo Young Ah\nUnknown Role', 'Jeon Mi Do\nMain Role', 'Yeon Woo Jin\nSupport Role', 'Kim Sang Ho\nUnknown Role', 'Kang Mal Geum\nSupport Role', 'Son Ye Jin\nMain Role', 'Lee Da Yeon\nSupport Role', 'Lee Tae Hwan\nSupport Role'}",Korean
Semantic Error (2021),Three Stars,"Drama , Drama , Romance , School , Korean | Episodes 8","Computer science major Chu Sang Woo is the epitome of an inflexible and strict rule-abiding person. While working on a liberal arts group project with freeloaders who don’t put in any effort, Sang Woo reasonably decides to remove their names from the final presentation. But he didn’t imagine how involved he would become with the person whose study-abroad plans were messed up because of that project. The involved person: the campus star who everyone knows, Department of Design’s Jang Jae Young. He has everything from skills, looks, family background and good relationships except for 1 big problem: Chu Sang Woo. What happens when an engineer and an artist whose personalities are like oil and water have to work together? Jang Jae Young is like a semantic error in the perfect world of Chu Sang Woo. Will Sang Woo be able to debug this? Español 한국어",Release: 2021,not available,Korean
Weekly idol (2016),Three Stars,"Drama , Game-Show , Kshow , Korean | Episodes 500+","Weekly Idol KSHOW Eng Sub Enjoy candid moments with your favorite music idols like you have never seen them before! “Weekly Idol” is a South Korean variety show that originally began airing on July 23, 2011, and features one or more music guests each week. Regular segments on the show include “Real Chart! Idol Self-Ranking,” where idols are asked to rank each other on different topics, and “Idol of the Week,” where the invited idol guests are often asked to dance on the spot to a mash-up of their choreographed dance routines, verify information in their profiles or in rumors, or compete against the hosts in a game. The first group to appear as the show’s “Idol of the Week” was INFINITE, which continues to be a popular guest of the show. Other popular guests have included BtoB, Secret, A Pink, 4minute and B.A.P. “Weekly Idol” is hosted by comedian Jeong Hyeong Don and rapper Defconn.",Release: 2016,not available,Korean
Foreigner (2018),Three Stars,"Drama , Comedy , Fantasy , Game-Show , Kshow , Korean | Episodes: 100+",A quiz show for foreigners who know and love Korea even more than Koreans do! Watch them compete with five Korean celebrities in a quiz about Korean culture!,Release: 2018,not available,Korean
Godfather (2021) (2021),Two & Half Stars,"Drama , Kshow , Korean | Episodes 10+",New Family Relations Certificate Godfather,Release: 2021,"{'Lee Soon Jae\nRegular Member', 'Kim Gab Soo\nRegular Member', 'Joo Hyun\nRegular Member'}",Korean
Grid (2022),Three Stars,"Drama , Action , Drama , Mystery , Sci-Fi , Thriller , Korean | Episodes 10","In 1997, a mysterious ghost saved humankind and then disappeared. It reappears again 24 years later and helps a serial killer escape. Kim Sae Ha, Jung Sae Byeok and Song Eo Jin pursue the ghost for different reasons. ",Release: 2022,"{'', 'Support Role', 'Kim Mu Yeol\nMain Role', 'Park Jun Hyuk\nGuest Role', 'Kim Ah Joong\nMain Role', 'Jang So Yeon\nSupport Role', 'Lee Soo Yeon\nUnknown Role', 'Lee Khan\nUnknown Role', 'Lee Shi Young\nMain Role', 'Unknown', 'Oh Yeon Soo\nUnknown', 'Kim Sung Kyun\nMain Role', 'Main Role', 'Seo Kang Joon\nMain Role'}",Korean
Rookie Cops (2022),Three & Half Stars,"Drama , Drama , Life , Romance , Youth , Korean | Episodes 16","About an honor's freshman, Wi Seung Hyun, starting out at the Korean national Police University. He admires his father, who is the commissioner of the Gyeonggi Dongbu Police Agency. He sets out on following in his father's footsteps but runs into hurdles as he gets involved with a woman named Go Eun Gang. The story will revolve around young adults born in the 2000s making their way through college life in their own unapologetic ways at one of the most conservative universities in Korea. The youth of Korea and how they grow alongside their dreams, love, and difficulties at a police university. The struggles to stand out within a 2,000 student campus, one of the most conservative and exclusive campuses in the nation, will be told through the drama.",Release: 2022,not available,Korean
Charles the Next Door Neighbor (2018),Three Stars,"Drama , Comedy , Fantasy , Game-Show , Kshow , Korean | Episodes 300+",Foreigners in a Strange Land Their Survival Story A reality show with three foreigners living in Korea challenging themselves to unique missions and learning more about Korean society and culture.,Release: 2018,not available,Korean
Love Naggers 3 (2020),Three & Half Stars,"Drama , Kshow , Korean | Episodes 40+","Love Naggers are back with Season 3. An impregnable data of breakups is established through season 1 and 2! After the panels have nagged strongly on love stories that are unbelievable than a soap opera, more and more of troubled men and women are being released from their bitter relationships. It will diagnose their relationship more strongly and with more determination. Diagnosing break-ups to people in bloody fights who are fooled to think that it's a romance continues. Romance destroying talk show, Love Naggers Season 3!",Release: 2020,"{'Joo Woo Jae\nMain Host', 'Han Hye Jin\nMain Host', 'Seo Jang Hoon\nMain Host', 'Kim Sook\nRegular Member'}",Korean
