Title,Rating,Genre,Description,Casts,Country
Ten Years to Be Married (2016),One & Half Star,"Drama , Drama , Romance , Chinese | Episodes 32",Ten Years to Be Married,"{'', 'Yang Cai Ying\nSupport Role', 'Xu Ke\nSupport Role', 'Wei Wei\nMain Role', 'Meng Hu\nUnknown Role', 'Liu Ran\nSupport Role', 'Wang Xiao Chen\nMain Role', 'Zhu Jing\nSupport Role', 'Zhang Yi Xin\nSupport Role', 'Ng Ron\nMain Role', 'Long Xin Yue\nSupport Role', 'Cai Guo Long\nSupport Role', 'Yang Lei\nSupport Role', 'Sun Cheng Zhi\nUnknown Role', 'Support Role', 'Guo Xing Chen\nSupport Role', 'Elanne Kong\nMain Role', 'Shi Qiang\nGuest Role', 'Wang Yi Jun\nSupport Role', 'Yang Zi Ting\nSupport Role'}",Chinese
The Theatre Stories (2022),Three & Half Stars,"Drama , Comedy , Drama , Historical , Life , Chinese | Episodes 35","Set in ancient times, the story follows a young emperor who leads a double life as he works in the theater with a group of artists. In a certain dynasty that is prosperous and peaceful, the people praise the young emperor for being brilliant and wise. In reality, the emperor has not yet taken power because it remains in the hands of the Queen Mother and the emperor's uncle. Uninterested in government affairs, the emperor simply wants to go outside the palace to travel and feed his obsession with the opera. One day, the emperor discovers a secret passage. When he quietly slips out, he is surprised to find that at the end of the passage is a theater house that is about to reopen its doors to the public. As he meets its owner Bai Xiao Qing, he conceals his true identity to associate with a group of wonderful artists. Being one with the people, the emperor goes through several ups and downs in his journey to become an excellent ruler. ","{'Guo De Gang\nGuest Role', '', 'Luan Yun Ping\nSupport Role', 'Qin Xiao Xian\nMain Role', 'Shao Bing\nGuest Role', 'Jiang Shi Meng\nSupport Role', 'Cao He Yang\nSupport Role', 'Niu Ji Xin\nUnknown Role', 'Meng He Tang\nMain Role', 'Zhang Hao Yue\nSupport Role', 'Shu Huan\nUnknown Role', 'Lana Zhao\nMain Role', 'Support Role'}",Chinese
Floating Youth (2022),Four Stars,"Drama , Drama , Friendship , Life , Sports , Youth , Chinese | Episodes 24","A story revolving around a group of teenage ice hockey players who dream of going professional. Chen Che is the star player of the United Nations Hockey Team, a former celebrity, and a rare hockey genius in Jiang Cheng for the past ten years. He is an impulsive teenager who is not bound by the rules and has an easy way to the top. In fact, he values affection and righteousness, and silently assumes the responsibility of taking care of others. Shen Zhou Zhou, who was once a graduate student in North America, has a cold personality and handsome appearance. On the rink, he has a strong executive ability, as if he were an indomitable warrior. The teenagers show all their effort on the ice rink, which not only presents the passionate dream-seeking enthusiasm but also conveys the steely spirit of competition. This is the journey of teenagers who went through hardship to achieve success and glory. ","{'', 'Theo Zhu\nMain Role', 'Ni Jing Yang\nSupport Role', 'Luo Ze Kai\nSupport Role', 'Yang Leo\nSupport Role', 'Lin Kai Jie\nSupport Role', 'Liu Yu Feng\nSupport Role', 'Dai Xiao Ying\nSupport Role', 'Xie Zi Chen\nSupport Role', 'Yu Xiao Guang\nSupport Role', 'Candice Zhao\nSupport Role', 'Mou Feng Bin\nSupport Role', 'Raf Peng Junjie\nSupport Role', 'Zhao Liang\nSupport Role', 'Hou Fu Ming\nSupport Role', 'Xu Hao\nMain Role', 'Support Role', 'Zhang Teng\nUnknown Role', 'Bai Shu\nMain Role', 'Zong Mu Yi\nSupport Role'}",Chinese
Good Time (2020),Not Rated,"Drama , Drama , Friendship , Life , Chinese | Episodes 48","A story that follows five grannies who live on the same street. A scam brings them together and they gradually become friends as they experience joys and sorrows together while trying to find new meaning in this journey called life. Five ladies with different backgrounds and personalities lead their own lives as aging adults. Mei Yi (Wang Fuli) runs a cafe while still suffering from the pain of her son's death. The arrival of the new waitress, Xiao Xue's, completely shakes up her life. Teacher Song scurries about day and night with a full schedule that she's set for herself. From time to time, she becomes a source of trouble for her daughter. Liu Da Fu is the new arrival who intends to make changes in her son's life yet ends up making him miserable. Hong Jie is the resident local. She is not lacking in anything yet her biggest worry remains to be her children. Ai Lin is considered a beauty in their community, yet she knows the feeling of loneliness all too well. The five grannies run into each other because of a 'health lecture' and in trying to battle wits and will against their scammers, they become old friends.","{'', 'Xie Cheng Ying\nSupport Role', 'Song Xiao Ying\nMain Role', 'Wang Xiao Yu\nSupport Role', 'Sheng Guan Sen\nSupport Role', 'Cui Peng\nSupport Role', 'Feng Qian\nSupport Role', 'Zhao Chun Xi\nUnknown', 'Kong Yan\nSupport Role', 'Zhao Shun Ran\nSupport Role', 'Hong Pan\nMain Role', 'Kenneth Zhu\nSupport Role', 'Wang Fu Li\nMain Role', 'Wang Shi Huai\nSupport Role', 'Xu Di\nMain Role', 'Wu Mian\nMain Role', 'Cai Xin Yang\nSupport Role', 'Support Role'}",Chinese
The Crack of Dawn (2022),Four Stars,"Drama , Drama , Life , Thriller , Chinese | Episodes 12+","The drama tells a story of self-preservation and strength of an ordinary woman who worked hard for a life of stability who is faced with her husband's malice and betrayal, the burdens and problems of life. ","{'', 'Zhang Ben Yu\nSupport Role', 'Ma Sandra\nMain Role', 'Gao Xu Yang\nSupport Role', 'Zhang Yao\nMain Role', 'Luo Hong Ming\nMain Role', 'Tang Fan\nUnknown Role', 'Lang Yue Ting\nSupport Role', 'Chen Xi Xiao\nUnknown Role', 'Coco\nSupport Role', 'Niu Chao\nUnknown Role', 'Liu Kai\nMain Role', 'Yuan Mickey\nGuest Role', 'Cao Xiao Tian\nUnknown Role', 'Support Role'}",Chinese
Designated Love (2022),Two & Half Stars,"Drama , Drama , Chinese | Episodes 15",Designated Love,"{'Yu Yi Fu\nSupport Role', 'Boa\nSupport Role', 'Cui Yu Xin\nMain Role', 'Fan Wei\nMain Role'}",Chinese
Curling Girls (2022),Five Stars,"Drama , Drama , Friendship , Sports , Chinese | Episodes 16","Xia Tang Yuan tried to join the Zhongbei Women's Curling Team to get closer to the handsome curling prince, but was turned down by the serious coach, Zhao Yi Bing. At this time, the Zhongbei Women's Curling Team was about to be disbanded and in need of new players to join a competition. An incident led to the discovery that Xia Tang Yuan actually had talent for the sport, which also made Zhao Yi Bing break her defense and have Xia Tang Yuan successfully join the team. ","{'Jiang Zhi Nan\nMain Role', 'Tony Tang\nUnknown Role', 'Gao Tian\nMain Role', 'Zhou Qian Xiao\nMain Role', 'Yang Yue\nMain Role', 'Joy\nMain Role'}",Chinese
In Your Heart (2022),Three Stars,"Drama , Drama , Friendship , Romance , School , Youth , Chinese | Episodes 8","The series tells the story of the childhood sweethearts Cheng Yi and Ling Zi Ming and their vindictive friends Lu Xiang Lin and Yue Yu Zhi. Ling Zi Ming and Cheng Yi are two childhood friends, who come from two incomplete families. Zi Ming has been living together with his second eldest maternal aunt since his childhood, while Cheng Yi has been brought up by his grandma. Because of the similar family background, the two boys supported each other emotionally. But as they entered puberty, their psychology underwent dramatic changes. Still being young, the boys have no ideas what love is. Though attempting to get close to each other one after another time, they unexpectedly get increasingly estranged from each other. ","{'Zhang Jia Hao\nSupport Role', 'Huang Bo Zhi\nMain Role', 'Hu Bo Wen\nMain Role', 'Meng Yue Chen\nMain Role', 'Hu Shi Wen\nMain Role', 'Lee Aria\nUnknown Role', 'Yu Le Xin\nMain Role'}",Chinese
City of Streamer (2022),Three & Half Stars,"Drama , Drama , Romance , Chinese | Episodes 40","Set in the Shanghai Shores at the beginning of the 20th century, where warlords begin to seize their powers; many heroes emerge, and revolutionary movements begin to rise. Making use of their wealth, the influential Rong family often abused their powers to commit various heinous crimes. In order to uphold justice, Feng Shizhen decide to embark on the road of revenge. She successfully sneaked into the Rong family, and became a tutor of the young master Rong Jiashang. However, in the midst of testing and making use of each other, Feng Shizhen slowly finds herself falling for the enemy's son. When the truth of the injustice and grievances that happened twenty years ago begin to surface, the two lovers who were initially in two different camps work together to brave through numerous hurdles, and ultimately reveal the shocking truth.","{'', 'Cao Yan Yan\nSupport Role', 'Tan Yong Wen\nSupport Role', 'Hai Karina\nMain Role', 'Zhang Tang\nSupport Role', 'Wang Yi Fei\nSupport Role', 'Jing Chao\nMain Role', 'Jing Tian\nMain Role', 'Xu Wei Zhou\nMain Role', 'Xing Jia Dong\nSupport Role', 'Wang Zi Zi\nSupport Role', 'Ma Wen Yuan\nSupport Role', 'Kenan Sheng\nGuest Role', 'Chi Jia\nSupport Role', 'Yu Xuan Chen\nSupport Role', 'Jin Chen\nUnknown Role', 'Support Role', 'Duan Ran\nSupport Role'}",Chinese
Happy Community (2020),Not Rated,"Drama , Drama , Family , Chinese | Episodes 42","The drama tells the story of Yu Lao Le's decision to relieve his son's burden. He and his old colleagues decided to ""hold a group to support the elderly"" and went out to inspect the nursing home. A series of ridiculous stories happened.","{'Hu Dan Dan\nSupport Role', '', 'Li Guang Fu\nMain Role', 'Fu Si Zhen\nUnknown Role', 'Wang Qing\nSupport Role', 'Cao Li\nSupport Role', 'Sang Wei Lin\nSupport Role', 'Bo Hong\nSupport Role', 'Liu Pei Qi\nMain Role', 'Ma Chun Tao\nUnknown Role', 'Sun Lan\nSupport Role', 'Wang Li Yun\nMain Role', 'Yung Yvonne\nSupport Role', 'Duanmu Yi Chen\nSupport Role', 'Support Role', 'Yan Dan Chen\nSupport Role'}",Chinese
"Hello, the Sharpshooter (2022)",Four Stars,"Drama , Drama , Romance , Sports , Youth , Chinese | Episodes 40","Many years ago, when they were high schoolers, Tang Xin met the tall and dashing Yuan Shen Qing. She instantly fell for him, although she didn’t tell him at the time. He told her that he wouldn’t forget her, but since then, their paths have gone in different directions: She has become a trainee reporter, while he has become the country’s leading 50-meter pistol shooter, heading China’s bid for Olympic glory. As the pistol shooting team prepares for the Olympics, Tang Xin is assigned to interview him. But when she is suddenly confronted by the man she held a candle for, she is overcome with nerves. He, meanwhile, is dismissive and cold toward her. Tang Xin is assigned to film and interview the team as it prepares for the Olympics, but Yuan Shen Qing finds that he is unsettled by her presence, as it even starts to interfere with his performance. He cannot seem to understand why his aim is affected by Tang Xin. But as they spend more time together, he starts to wonder if he isn’t perhaps falling for her. Will Olympic glory – and maybe romance – come calling? ","{'Jackey Zhu\nSupport Role', 'Hu Yi Tian\nMain Role', '', 'Luo Qiu Yun\nMain Role', 'Zheng Yi Ming\nSupport Role', 'Main Role', 'Xing Fair\nMain Role', 'Jia Qing\nGuest Role', 'Niu Chao\nSupport Role', 'Sha Bao Liang\nGuest Role', 'Kido\nMain Role', 'Liu Yi Zhi\nUnknown Role', 'Shi Ming Ze\nGuest Role', 'Peng Bo\nSupport Role', 'Wang Dong\nGuest Role', 'Lu Qi\nSupport Role', 'Support Role'}",Chinese
Memory of Encaustic Tile (2022),Three & Half Stars,"Drama , Drama , Life , Romance , Youth , Chinese | Episodes 34","Shao Xue, Zheng Su Nian, and Zhang Qi are childhood friends who have grown up together. Their parents all work (or have worked) in the antique and museum trade, dedicating their lives to conserving priceless cultural artifacts. But as they get older, the friends’ lives start to take different turns, and their feeling toward one another start to change. Zheng Su Nian’s mother, who has a great influence on both her son and Shao Xue, becomes dangerously ill. While for Zheng Su Nian, the loss of his mother will mean that he must take up her mantle, for Shao Xue, it inspires her to broaden her horizons, even if that means moving away from the neighborhood and friends she is so familiar with. She has secret feelings for Zheng Su Nian, who has also secretly been in love with her for some time. But Zhang Qi – whose true talent lies not with antiques but mathematics – also has feelings for Shao Xue. When he gets the chance to pursue his studies abroad, the trio comes to a crossroads in their young lives. Can love really be shunted to the sidelines so easily? Or will Cupid have something to say about the matter?","{'Qin Yan\nSupport Role', '', 'Support Role', 'Yan Zi Dong\nMain Role', 'Zhang Ai Yue\nSupport Role', 'Sun Liang Jun\nSupport Role', 'Miao Meng\nUnknown Role', 'Luna Yuan\nSupport Role', 'Zhang Tian Ai\nSupport Role', 'Tian Yu\nUnknown Role', 'Lin Yi\nMain Role', 'Fang Zi Bin\nSupport Role', 'Zhou Ting Wei\nSupport Role', 'Bao Tian Qi\nSupport Role', 'Ryan Tang\nSupport Role', 'Chen Yu Qi\nMain Role', 'Mu Le En\nSupport Role', 'Kenan Sheng\nSupport Role'}",Chinese
My Dearest Boss (2022),Three Stars,"Drama , Drama , Romance , Chinese | Episodes 30","Yu Xing Chui's life has always been filled with misfortune, but her fate begins to reverse from this moment! One day she was working overtime at the company when she suddenly receives a mysterious phone call that she now suddenly will be inheriting her aunt's ten-million dollar estate. On the first night staying in the mansion, Yu Xing Chui was so complacent that she walked through the wrong door by mistake, and into the house of her new neighbor who turns out to be her boss Liu Yuan An! ","{'Gong Fang Ni\nMain Role', 'Zhou Qian Xiao\nSupport Role', 'A Ke Wun Hua\nUnknown Role', 'Tony Tang\nUnknown Role', 'Chen Si Qi\nSupport Role', 'Guo Jia Nan\nMain Role'}",Chinese
