Title,Rating,Genre,Description,Casts,Country
Split Second (2004),Three & Half Stars,"Drama , Action , Crime , Drama , Romance , Thriller , HK | Episodes 30",Split Second,"{'', 'Kong Hon\nSupport Role', 'Jensen Sririta\nMain Role', 'Cheng Kevin\nMain Role', 'Cheung Deon\nSupport Role', 'Tam Patrick\nMain Role', 'Chan Moses\nGuest Role', 'Eddy Ko\nSupport Role', 'Support Role', 'Fong Alex\nMain Role', 'Daniel Kwok\nSupport Role', 'Jason Lam\nSupport Role', 'Mark Kwok\nSupport Role', 'Plengpanich Chatchai\nMain Role', 'Ken Lok\nSupport Role', 'Yoyo Mung\nMain Role', 'Mandy Cho\nSupport Role', 'Karen Lee\nSupport Role', 'Yip Fanny\nSupport Role', 'Marco Ngai\nMain Role'}",HongKong
Men with No Shadows (2011),Three & Half Stars,"Drama , Drama , Supernatural , HK | Episodes 20","We all experience birth, old age, sickness, and death. Yet have you ever wondered who determines the time of our death? Respected pharmaceutical doctor Kong Tung Kin starts up his own clinic after a drug trial incident. One day, he is approached by Toi Fung, who claims to be Satan, for a patient’s life. Refusing to do so, he suggests handing over his own. His reaction takes Fung by surprise. With a view to getting to know more about human beings, Fung interferes with Kin’s life, including his family and career. In addition, he runs after Fong Siu Fong, a nurse Kin has been secretly in love with. Later, Kin sells his soul to Fung for money and fame. As time goes by, he starts to become a totally different person, losing his kindness without himself knowing it.","{'', 'Cheung Deon\nSupport Role', 'Chiang David\nSupport Role', 'Cheung Max\nSupport Role', 'Kwong Chor Fai\nSupport Role', 'Yeung Tavia\nMain Role', 'Daniel Kwok\nSupport Role', 'Felix Lok\nSupport Role', 'Jason Lam\nSupport Role', 'Lo Henry\nSupport Role', 'Janice Ting\nUnknown', 'Andy Sui\nSupport Role', 'Cheung Russell\nSupport Role', 'Wong Gigi\nSupport Role', 'Kwan Dolby\nSupport Role', 'Ching Rainbow\nSupport Role', 'Yip Fanny\nSupport Role', 'So Ceci\nSupport Role', 'Alice Fung\nSupport Role'}",HongKong
A Love of No Words (2021),Two & Half Stars,"Drama , Drama , Romance , HK | Episodes 20",classic love story between a pair of childhood friends who slowly realize their feelings are much more than siblings .,"{'Arnold Kwok\nUnknown', '', 'Fan Amy\nUnknown', 'Alvin Ng\nUnknown', 'Wu Hubert\nMain Role', 'Wiyona Yeung\nUnknown', 'Rainky Wai\nUnknown', 'Yiu Claire\nUnknown', 'Hong Akina\nUnknown', 'Regina Ho\nMain Role', 'Lam Bella\nUnknown', 'Law Joey\nMain Role', 'Carmaney Santiago\nUnknown', 'Andy Lin\nUnknown', 'Wong Geoffrey\nUnknown', 'Judy Kwong\nUnknown', 'Unknown'}",HongKong
Instinct 1994 (1994),Three Stars,"Drama , Business , Crime , Drama , Family , HK | Episodes 40","Wong Tin (Adam Cheng) is an all-powerful tycoon in town. While he is the one who stirs things up, he is also the only one who can settle them. Bao Man Lung (Ekin Cheng) sees Tin as his mentor as well as his friend. He is truthful with and loyal to Tin, yet he is bruised all over in the end! Poon Long Ching (Roger Kwok) worships Tin. His is determined to get rich and famous, by fair means or foul. Nevertheless, he ends up being used by Tin's enemy to fight against Tin. ","{'', 'Cheng Ekin\nMain Role', 'Lee Shing Cheong\nSupport Role', 'Ku Leo\nSupport Role', 'Gregory Charles Rivers\nUnknown', 'Sheung Kiki\nSupport Role', 'Amy Kwok\nMain Role', 'Koon Lan Law\nSupport Role', 'Support Role', 'Adam Cheng\nMain Role', 'Wong Man Piu\nSupport Role', 'Lau Kong\nSupport Role', 'Ma Ching Yee\nSupport Role', 'Newton Lai\nSupport Role', 'Kwok Roger\nMain Role', 'Dai Andy\nSupport Role', 'Andy Sui\nSupport Role', 'Kwan Chung\nBit part', 'Chun Paul\nSupport Role', 'Chan Nadia\nSupport Role'}",HongKong
Who Is the Winner II (1992),Five Stars,"Drama , Action , Drama , Romance , Supernatural , HK | Episodes 30","Shek Chi Hong is now the number one ""God of Gamblers"" in the gambling world. He is a genius in gambling but prefers a quiet life. However, he can’t change his own destiny as long as he hasn’t retired from the gambling world. Knowing that Hung Fung's gambling skills have improved tremendously over the years, Cheung Tin Jing resorts to inviting Chi Hong to help him. Chi Hong refuses to step into the gambling world again due to the promise to his wife. It is not until Cheung Tin Jing fakes a heart attack that Ah Kong decides to help him finally. There, he meets Cheung Tin Jing's only daughter, Cheung Sik Yu and her childhood friend, Dik San. However, after his helping in Tin Ding winning over Mun Long, this in turn causes his wife's death. Since then, he becomes disillusioned in life.","{'', 'Meng Joey\nGuest Role', 'Support Role', 'Ben Ng\nMain Role', 'Lee Heung Kam\nSupport Role', 'Christine Ng\nMain Role', 'Jackie Lui\nMain Role', 'Nick Cheung\nSupport Role', 'Margie Tsang\nMain Role', 'Chun Paul\nSupport Role', 'Eddy Ko\nSupport Role', 'Ken Lok\nSupport Role', 'Nathan Chan\nMain Role'}",HongKong
Who is the Winner III (1993),Five Stars,"Drama , Action , Drama , Romance , Supernatural , HK | Episodes 30","Ching Yat Fung is a loyal friend and regards friendship important. He is the top gambler that all renounce to with. Many call him the evil gambler but he is kind at heart. Many people eyes his no.1 spot as the King of Gamblers. 5 years ago, Yik Fung’s family is attacked. He is saved by his servant’s son and good friend, Yik Tin Yeung. The life and friendship of Yat Fung and Tin Yeung is a rocky one, forming lies, deceit, and hatred, and in the end they must battle against each other for the number one spot. ","{'Stephen Au\nSupport Role', 'Yam Simon\nMain Role', 'Jay Lau\nMain Role', 'Christine Ng\nMain Role', 'Tong Kent\nMain Role', 'Kwong Wa\nMain Role', 'Mark Kwok\nSupport Role', 'Eddy Ko\nSupport Role', 'Meng Joey\nMain Role'}",HongKong
Burning Flame (1998),Two & Half Stars,"Drama , Action , Drama , Family , Romance , HK | Episodes 43","Lok Tin Yau has always dreamed of becoming a firefighter. Sum Pik Yiu and Tin Yau are good friends but Tin Yau later falls for Pik Yiu after he helps her. But she has to give her feelings up for him when his childhood friend comes to Hong Kong from Japan. Lok Hew Fung, Lok Tin Yau, and Ng Dai Heng are best friends who join and become firefighters. This drama is about the lives of firefighters and the situations that they deal with everyday.","{'', 'Tay Joe\nSupport Role', 'Steve Lee\nSupport Role', 'Ng Wai Shan\nSupport Role', 'Ling Hon\nSupport Role', 'Cheung Deon\nSupport Role', 'Leo Tsang\nSupport Role', 'Wong Wai Leung\nSupport Role', 'Irene Wong\nSupport Role', 'Ng Melissa\nSupport Role', 'Cherie Chan\nSupport Role', 'Chin Kar Lok\nSupport Role', 'Stephen Ho\nSupport Role', 'Apple Lo\nSupport Role', 'Daniel Kwok\nSupport Role', 'Lam King Kong\nSupport Role', 'Dai Andy\nSupport Role', 'Cheung Russell\nSupport Role', 'Ma Joe\nSupport Role'}",HongKong
Eight Heroes (2005),Two Stars,"Drama , Drama , Wuxia , HK | Episodes 40","The story is set in ancient China during the Southern Song Dynasty. Emperor Gaozong is deceived by the treacherous premier Qin Hui and he puts the patriotic general Yue Fei to death. Qin Hui's supporters dominate the imperial court, leading to widespread corruption in the government. Some righteous ministers oppose Qin Hui, but do not dare to challenge him directly, so they form the secret organization Haoxia to undermine his influence. Eight people with special skills and abilities receive invitations to join Haoxia and their heroic quest begins. The plot's development is based on several loosely-connected subplots and short stories, and ends with a grand finale of a showdown between the heroes and Qin Hui's forces. ","{'Lau Damian\nMain Role', '', 'Fan Bing Bing\nGuest Role', 'Wu Zhuo Han\nSupport Role', 'Support Role', 'Lu Yi\nMain Role', 'Hong Mu\nSupport Role', 'Main Role', 'Tan You Ye\nUnknown Role', 'Michelle Dong\nMain Role', 'Li Bing Bing\nMain Role', 'Li Xiao Lu\nMain Role', 'Edison Chen\nGuest Role', 'Yang Jun Cheng\nSupport Role', 'Zhou Zhong\nSupport Role', 'Chen Zhi Hui\nGuest Role', 'Wong Anthony\nMain Role'}",HongKong
The Season of Fate (2010),Two & Half Stars,"Drama , Drama , Historical , HK | Episodes 25","The poor Lin Sheung-Chun (Esther Kwan) was sold into the Kwan family as a concubine to help pay off her father's gambling debts. However, on the night of her marriage, her husband died. Hearing her screams, Wang Yeuk-Lam (Michelle Yim), the first wife, rushes in. Seeing her husband's dead body, she assumes Sheung-Chun is the murderer and tries to stab her, hitting her head on a table in the process. Ever since, Yeuk-Lam believes that she is a young girl, and that Sheung-Chun is her mother. She has no memories of her previous life. ","{'', 'Yim Michelle\nMain Role', 'Mimi Lo\nMain Role', 'Hui Benz\nSupport Role', 'Li Lily\nSupport Role', 'Vivian Tsang\nSupport Role', 'Mak Ka Lun\nSupport Role', 'Chan Wing Chun\nSupport Role', 'Irene Wong\nSupport Role', 'Support Role', 'Esther Kwan', 'Cheung Regen\nMain Role', 'Peter Lai\nSupport Role', 'Chan June\nSupport Role', 'Apple Lo\nSupport Role', 'Kwok Roger\nMain Role', 'Daniel Kwok\nSupport Role', 'Felix Lok\nSupport Role', 'Leung Oscar\nMain Role', 'Andy Sui\nSupport Role', 'Yeo Vivien\nSupport Role'}",HongKong
Land of the Condors (1992),Two Stars,"Drama , Drama , Wuxia , HK | Episodes 20",Land of the Condors,"{'Kitty Lai\nMain Role', 'Ng Francis\nMain Role', 'David Siu\nMain Role'}",HongKong
Virtues of Harmony (2001),Three & Half Stars,"Drama , Comedy , Drama , Romance , Sitcom , HK | Episodes 327","Yau Nim Chi is the matriarch of the new rich Kam House and a single mother of the 24-year-old Kam triplets. The Kam family owns a restaurant in town, famous for its noodles, which are notoriously cooked by Nim Chi's arrogant younger brother, Yau Nim Fu. The bubbly Princess Sam Tin, the emperor's favorite and only child, is of age to marry, and the emperor decides to hold a contest for scholars around the capital city to compete for her hand in marriage. Nim Chi's oldest son Kam Nin, a young and intelligent fifth-ranking scholar-official working for the royal court, is forced to join the contest. Nin's future career would have remained stable if it wasn't for his frank tongue; in the contest, he writes a poem denouncing the princess for being too childish and oblivious to hardships of the common people. This angers the princess, and she demotes him to a lowly ninth-ranking official, sending him back to his hometown Chi Lik Kung Town to be the town's magistrate. The emperor soon arranges Princess Sam Tin to marry the Persian prince after failing to find a suitor for her in the contest. Displeased, she and her eunuch Siu Yuen escapes the palace and ends up in Chi Lik Kung Town. In town, she is happy to see men working for her lily pond, but when she sees a very ugly statue of herself being built, she grows angry and smashes the statue into pieces, leading her to be tried in court, where she confronts Magistrate Nin. Nin, oblivious to the fact that she's the princess, asks her for her name. Hiding her identity, the princess invents the name ""Kung Yan-so"" on a whim. Upon hearing her name, Nim Chi takes the princess home, mistaking her to be the daughter of the Kam family's savior, who died to save Nin. Seeing that the Kam household is a good place for shelter, she and Siu Yuen decide to stay in the Kam household until it's safe for them to leave, simultaneously completing a chain of community labor in Nin's office as a punishment for destroying government property. ","{'', 'Lee Joseph\nSupport Role', 'Kwong Chor Fai\nSupport Role', 'Ng Wai Shan\nSupport Role', 'Daniel Kwok\nSupport Role', 'Karen Lee\nSupport Role', 'Wong Man Piu\nSupport Role', 'Jason Lam\nSupport Role', 'Yuen Kingdom\nSupport Role', 'Yeung Ka Lok\nSupport Role'}",HongKong
The Legendary Four Aces (2000),Two & Half Stars,"Drama , Comedy , Drama , Historical , HK | Episodes 52","Four scholarly people who find love. There is the smart and dashing Tang Bo Hu played by Nick Cheung. Greedy Chu Tse San (Bobby), noble and honest Wen Jing Ming (Gordon), and the guy who goes a long Chow Wen Bing (Macro).","{'', 'Ng Wai Shan\nSupport Role', 'Yoe Biu\nSupport Role', 'Albert Law\nSupport Role', 'Chan Rebecca\nSupport Role', 'Chan Nadia\nMain Role', 'Wong Wai Leung\nSupport Role', 'Esther Kwan', 'Wong Man Piu\nSupport Role', 'Annie Man', 'Bruce Li\nSupport Role', 'Peter Lai\nSupport Role', 'Chiu Candy\nSupport Role', 'Kwong Chor Fai\nSupport Role', 'Lam Gordon\nMain Role', 'Ching Rainbow\nSupport Role', 'Yung Yvonne\nMain Role', 'Nick Cheung', 'Karen Lee\nSupport Role', 'Au Yeung Bobby\nMain Role', 'So Ceci\nSupport Role', 'Marco Ngai\nMain Role'}",HongKong
Super Snoops (2011),Three Stars,"Drama , Comedy , Drama , Melodrama , Mystery , HK | Episodes 20",Super Snoops,"{'', 'Kuo Christine\nSupport Role', 'Chuk Samantha\nSupport Role', 'Sheung Kiki\nGuest Role', 'Jeanette Leung\nGuest Role', 'Ko Matthew\nGuest Role', 'Kong Elvina\nGuest Role', 'Chan Wing Chun\nSupport Role', 'Wong Man Piu\nSupport Role', 'Wong Hugo\nSupport Role', 'Ella Koon', 'Aimee Chan\nGuest Role', 'Cho Raymond\nGuest Role', 'Bill Chan\nSupport Role', 'Chung Linda\nGuest Role', 'Shum Janice', 'Burrell Brian\nSupport Role', 'Jacqueline Chan\nGuest Role', 'King Kong', 'Deborah Poon\nUnknown', 'Li Eddie\nSupport Role', 'Dai Sunny\nGuest Role'}",HongKong
The Stupid Child (2007),Not Rated,"Drama , Drama , Family , HK | Episodes 35",The Stupid Child,"{'He Hingher\nSupport Role', '', 'Dai Chun Rong\nSupport Role', 'Deng Wei En\nUnknown Role', 'Law Kar Ying\nSupport Role', 'Lily Xu\nSupport Role', 'Support Role', 'So William\nSupport Role', 'Paw Hee Ching\nSupport Role', 'Tao Hong\nSupport Role', 'Li Zong Han\nMain Role', 'Chan Ruco\nMain Role'}",HongKong
Kids' Lives Matter (2021),Three Stars,"Drama , Drama , Medical , HK | Episodes 25","Twenty years ago, two pediatric interns had a falling out due to a surgical operation. As time passed, Kuang Cong Xin has become a pediatric surgeon at the highly prestigious Annie Hospital while Xu Gan Feng who believes in protecting life above all else works at a second-rate hospital. They meet again because of a liver transplant. Cong Xin schemes to get Gan Feng to join him at Annie Hospital. He also finds his former colleague, cardiothoracic surgeon Zhang Yi Xin. Mai Hai Qi who heads the surgery department aims to create the perfect team to pave the way for the construction of Hong Kong's first pediatric center. Helping young patients face life and death situations time and again enables Cong Xin and Gan Feng to overcome the bad blood between them. At this time, specialist Wen Bo Xi and intern Lian Zhuo Ying discover that a major medical error was committed during the operation twenty years ago. Everyone decides to uncover the truth.","{'', 'Sam Tsang\nSupport Role', 'Kwok Florence\nSupport Role', 'Cheung Sammi\nSupport Role', 'Gabriel Harrison\nSupport Role', 'Chen Yoyo\nSupport Role', 'Kelvin Kwan\nSupport Role', 'Wong Erin\nSupport Role', 'Law Him\nMain Role', 'Ma Kenneth\nMain Role', 'Wai Willie\nSupport Role', 'Chau Catherine\nMain Role', 'Arnold Kwok\nSupport Role', 'Regina Ho\nSupport Role', 'Niklas Lam', 'Linna Huynh\nSupport Role', 'Carisa Yan\nSupport Role', 'Heidi Chu\nSupport Role', 'Cheng Kevin', 'Chung Linda\nMain Role', 'Yip Fanny\nSupport Role'}",HongKong
Take Two (2021),Two & Half Stars,"Drama , Drama , Fantasy , Mystery , HK | Episodes 25",Edit Translation English Español Português 한국어,"{'', 'Fan Amy\nSupport Role', 'Yuki Law\nUnknown', 'Shaun Tam\nMain Role', 'Carmen Ngai\nUnknown', 'Tang Gloria\nMain Role', 'Kelly Gu\nUnknown', 'Support Role', 'Lau Moon\nMain Role', 'Iris Lam\nSupport Role', 'Chu Brian\nMain Role', 'Cheng Timothy\nMain Role', 'Wong Yee Kam\nSupport Role', 'Ceci Mak\nUnknown', 'Lam Gilbert\nSupport Role', 'Chiang Angel\nMain Role', 'Chan Toby\nSupport Role', 'Tania Chan\nUnknown', 'Cheung Jonathan\nMain Role'}",HongKong
Home Troopers (2010),Four Stars,"Drama , Comedy , Drama , Family , HK | Episodes 20","When children are young, their parents are worried they might take the wrong road through life, so they are always by their side, carefully guiding them through life. But as time passes, their children need to learn to become independent, their parents will have to learn to let go. Families have to grow, much like how people have to grow. The Chukot family is a typical average family. They have always lived together peacefully. Because many things have happened, the situation of the family has changed and many contradictions appear... ","{'', 'Ng Amy\nSupport Role', 'Adrian Chau', 'Kuo Christine\nSupport Role', 'Chuk Samantha\nSupport Role', 'Cheung Deon\nSupport Role', 'Wong Mandy\nSupport Role', 'Lam Kirby\nSupport Role', 'Yiu Claire\nSupport Role', 'Support Role', 'Bruce Li\nSupport Role', 'Peter Lai\nSupport Role', 'Liu Bernice', 'Wang Liza', 'Chau Daniel\nSupport Role', 'Unknown', 'Andy Sui\nSupport Role', 'Wong Vincent\nSupport Role', 'Deborah Poon\nUnknown', 'Yip Fanny\nSupport Role', 'Ip Adam\nSupport Role'}",HongKong
War of the Genders (2000),Four Stars,"Drama , Comedy , Drama , Law , HK | Episodes 100","The series revolved around a lawyer Francis Siu Wai Mo (Carol/Do Do Cheng Yu Ling) and her paralegal advisor Yu Lok Tin (Dayo Wong). Between avoiding the ""spinster"" label and creatively fighting trivial law suits, Frances uses her wit and class to outsmart her main rival, lawyer Alex Pao. In addition, Francis also has personal problems to deal with in the homefront such as getting used to her new younger stepmother. ","{'', 'Ricky Wong\nSupport Role', 'Leung Lily\nGuest Role', 'Vivian Tsang\nSupport Role', 'Leo Tsang\nSupport Role', 'Chor Yuen', 'Wong Dayo\nSupport Role', 'Support Role', 'Lee Waise\nSupport Role', 'Wong Man Piu\nSupport Role', 'Bruce Li\nSupport Role', 'Carol Cheng', 'Kwong Chor Fai\nSupport Role', 'Yuen Kitty\nSupport Role', 'Jason Lam\nSupport Role', 'Lo Henry\nSupport Role', 'Lee Joseph\nSupport Role', 'Marsha Yuan\nUnknown', 'So Ceci\nSupport Role', 'Lily Liu\nSupport Role'}",HongKong
Mr. Winner (2002),Two & Half Stars,"Drama , Action , Comedy , Drama , Mystery , HK | Episodes 30","Fong Tin Mow is a never-do-well troublemaker who has inherited his father's arrogant personality perfectly. Fed up with his mean demeanor, Fong's fiance Yau Siu Ching comes up with a clever way to tame him--she will only marry Fong Tin Mow if he promises to be the best police officer in town. To prove he is capable of change, Fong Tin Mow dutifully joins the cadet school. A series of strange and wild adventures await Fong Tin Mow as he attempts to become Mr.Winner. ","{'Cheung Dicky\nMain Role', 'Anita Yuen\nMain Role'}",HongKong
The Key Man (1992),Three Stars,"Drama , Crime , Drama , Family , HK | Episodes 30","When Lok Yin (Alex Man) furthers his study in U.S.A., he is jailed for 7 years because of manslaughter. His girlfriend, Ching Jan (Idy Chan) then get married with his best friend, Ling Fung (Wilson Lam). After going back to Hong Kong, Yin determined to modernize hi family's department store business. But the luck is not at his side, first, his elder brother Lok Man (Hui Siu Hung) and sister-in-law (Ma Qing-yi) are killed in a traffic accident. Then his father is died because of heart attack. ","{'', 'Ma Ching Yee\nSupport Role', 'Cheung Dicky\nMain Role', 'Idy Chan\nMain Role', 'Yoe Biu\nSupport Role', 'Support Role', 'Daniel Kwok\nSupport Role', 'Ling Hon\nSupport Role', 'Gregory Charles Rivers\nUnknown', 'Lau Ka Ho\nUnknown Role', 'Cheung Wah Biu\nUnknown Role', 'So Ceci\nSupport Role'}",HongKong
The Line Watchers (2021),Two & Half Stars,"Drama , Drama , HK | Episodes 27","Drama , Drama , HK","{'', 'Telford Wong\nSupport Role', 'Carlos Chan\nMain Role', 'Law Joey\nSupport Role', 'Frankie Choi\nSupport Role', 'Nguyen Chloe\nSupport Role', 'Venus Wong\nMain Role', 'Gabriel Harrison\nSupport Role', 'Chen Yoyo\nSupport Role', 'Yuen Benjamin', 'Alvin Ng\nSupport Role', 'Yeung Chiu Hoi\nSupport Role', 'Arnold Kwok\nSupport Role', 'Yeung Bobo\nSupport Role', 'Karl Ting\nSupport Role', 'Kong Elvina\nSupport Role', 'Chan Penny\nSupport Role', 'Wong Mandy\nMain Role', 'Yip Fanny\nSupport Role', 'Lau Moon', 'Wu Jack\nSupport Role'}",HongKong
